Sampling Feature: Manitou Exp. Forest Tower
Sensor Name:,LICOR_LI-190SA-50,EnviroDIY_Mayfly Data Logger,EnviroDIY_Mayfly Data Logger
Variable Name:,PAR,Battery_Voltage,Board_Temp_C
Result Unit:,umol s^-1 m^-2,volt,degreeCelsius
Date and Time in MST (UTC-7),PPFD,Battery voltage,Temperature
2021-05-09 14:51:41,476.03,4.81,11.3
2021-05-09 14:51:46,478.36,4.75,11.0
2021-05-09 14:51:52,480.69,4.75,11.3
2021-05-09 14:52:00,483.03,4.81,11.3
2021-05-09 14:53:00,506.36,4.81,11.0
2021-05-09 14:54:00,529.70,4.15,10.8
2021-05-09 14:55:00,539.03,4.15,11.0
2021-05-09 14:56:00,539.03,4.15,11.3
2021-05-09 14:57:00,541.36,4.15,11.0
2021-05-09 14:58:00,548.36,4.15,10.8
2021-05-09 14:59:00,548.36,4.15,11.0
2021-05-09 15:00:00,529.70,4.15,11.0
2021-05-09 15:01:00,506.36,4.15,11.0
2021-05-09 15:02:00,490.03,4.15,10.8
2021-05-09 15:03:00,471.36,4.15,10.8
2021-05-09 15:04:00,445.69,4.15,11.0
2021-05-09 15:05:00,417.69,4.15,11.3
2021-05-09 15:06:00,389.69,4.15,11.0
2021-05-09 15:07:00,371.02,4.15,11.0
2021-05-09 15:08:00,368.69,4.15,10.8
2021-05-09 15:09:00,371.02,4.15,10.5
2021-05-09 15:10:00,378.02,4.15,10.5
2021-05-09 15:11:00,387.36,4.15,10.5
2021-05-09 15:12:00,399.02,4.15,10.8
2021-05-09 15:13:00,417.69,4.15,10.8
2021-05-09 15:14:00,429.36,4.15,10.8
2021-05-09 15:15:00,434.03,4.15,11.0
2021-05-09 15:16:00,431.69,4.15,10.8
2021-05-09 15:17:00,434.03,4.15,10.8
2021-05-09 15:18:00,438.69,4.15,10.8
2021-05-09 15:19:00,443.36,4.15,10.8
2021-05-09 15:20:00,459.69,4.15,10.8
2021-05-09 15:21:00,497.03,4.15,10.8
2021-05-09 15:22:00,494.70,4.15,10.8
2021-05-09 15:23:00,457.36,4.15,11.0
2021-05-09 15:24:00,408.36,4.15,10.8
2021-05-09 15:25:00,389.69,4.15,10.8
2021-05-09 15:26:00,401.36,4.15,10.8
2021-05-09 15:27:00,434.03,4.15,10.8
2021-05-09 15:28:00,466.69,4.15,10.8
2021-05-09 15:29:00,513.36,4.15,10.8
2021-05-09 15:30:00,583.37,4.15,10.8
2021-05-09 15:31:00,639.37,4.15,10.8
2021-05-09 15:32:00,597.37,4.15,10.8
2021-05-09 15:33:00,539.03,4.15,10.8
2021-05-09 15:34:00,457.36,4.15,10.5
2021-05-09 15:35:00,378.02,4.15,10.8
2021-05-09 15:36:00,336.02,4.15,10.5
2021-05-09 15:37:00,319.69,4.15,10.3
2021-05-09 15:38:00,319.69,4.15,10.5
2021-05-09 15:39:00,319.69,4.15,10.3
2021-05-09 15:40:00,317.35,4.15,10.5
2021-05-09 15:41:00,305.68,4.15,10.3
2021-05-09 15:42:00,289.35,4.15,10.3
2021-05-09 15:43:00,273.02,4.15,10.3
2021-05-09 15:44:00,254.35,4.15,10.3
2021-05-09 15:45:00,238.01,4.15,10.3
2021-05-09 15:46:00,224.01,4.15,10.3
2021-05-09 15:47:00,212.35,4.15,10.5
2021-05-09 15:48:00,200.68,4.15,10.5
2021-05-09 15:49:00,191.34,4.15,10.5
2021-05-09 15:50:00,184.34,4.15,10.5
2021-05-09 15:51:00,182.01,4.15,10.5
2021-05-09 15:52:00,184.34,4.15,10.5
2021-05-09 15:53:00,186.68,4.15,10.3
2021-05-09 15:54:00,177.34,4.15,10.5
2021-05-09 15:55:00,163.34,4.15,10.0
2021-05-09 15:56:00,151.68,4.15,10.0
2021-05-09 15:57:00,144.68,4.15,10.0
2021-05-09 15:58:00,133.01,4.15,9.8
2021-05-09 15:59:00,123.67,4.15,9.8
2021-05-09 16:00:00,116.67,4.15,9.8
2021-05-09 16:01:00,109.67,4.15,9.8
2021-05-09 16:02:00,107.34,4.15,9.5
2021-05-09 16:03:00,105.01,4.15,9.5
2021-05-09 16:04:00,105.01,4.15,9.5
2021-05-09 16:05:00,105.01,4.15,9.3
2021-05-09 16:06:00,107.34,4.15,9.0
2021-05-09 16:07:00,107.34,4.15,9.3
